id,name,review_count,rating,coordinates
ve_qMsMD0YvnScYelvzOpg,Volare Bistro,366,4.5,"{'latitude': 33.658879940781446, 'longitude': -84.40878703470801}"
MQC1Ji988f9u4kAcV7eSwQ,Backstage Atlanta,66,3.5,"{'latitude': 33.6170199, 'longitude': -84.47152}"
Qj5sKwK8wXgDIGr4-kEc7g,Tom Dick and Hank,115,3.5,"{'latitude': 33.65145, 'longitude': -84.44985}"
QDAxt6QkFiq9BCQaSfbOKg,The Corner Grille,948,4.0,"{'latitude': 33.6509524467712, 'longitude': -84.4498098127475}"
hAklWAFwow-flDVUNzV5pQ,Brake Pad,392,4.0,"{'latitude': 33.662856, 'longitude': -84.44664}"
bW90nZImmo_aRanOUiZsOQ,The Breakfast Boys,370,4.0,"{'latitude': 33.66329681717365, 'longitude': -84.446488}"
OqELZmAlXKa2MfW7d6MJmQ,Aye Tea Elle Elevated Tapas,20,4.0,"{'latitude': 33.6528797, 'longitude': -84.4514637}"
5Q-u9ah9_zfN_xq2BojHYw,Spoon at Paper Plane,14,4.0,"{'latitude': 33.66269, 'longitude': -84.4165}"
fPdjBiQAq8CPt7tqBKt8mg,Malone's Steak & Seafood,666,3.5,"{'latitude': 33.6585551001482, 'longitude': -84.4300308823586}"
8Vjb5ptpZb2N3iAOSiuj6g,Boxcar,205,4.0,"{'latitude': 33.729955, 'longitude': -84.418626}"
Jfo67szC_PYNYRaC8KE0EA,Spondivits,1302,3.0,"{'latitude': 33.659193, 'longitude': -84.4290421}"
DebmePHSj90A1QLoB2qpDA,Chairs,54,4.0,"{'latitude': 33.6793051321704, 'longitude': -84.4404355656414}"
Gjwi9YMvtqrcx-ypYQn6NA,The Manchester Arms,380,4.0,"{'latitude': 33.659574, 'longitude': -84.444765}"
qZ_W3ZbpEEK6hekjeDwuIg,Champions,87,3.5,"{'latitude': 33.6440085903374, 'longitude': -84.4560060712333}"
rMQPC0UGceG3gmG8iv1POA,Casi Cielo,346,4.5,"{'latitude': 33.92237, 'longitude': -84.378885}"
RSEoAWkXCv5Vi_nv9LnNyg,The Select,370,4.0,"{'latitude': 33.92499104522305, 'longitude': -84.38112561247755}"
JnNdEhN7Ixr4NcsbvVZ0Nw,Thrill Korean Steak and Bar,533,4.5,"{'latitude': 33.917761, 'longitude': -84.381834}"
a7C9OHywmpMFxYxnknTOMw,Okiboru Tsukemen & Ramen,358,4.5,"{'latitude': 33.92179371362614, 'longitude': -84.37885032880348}"
8AuXO56lW2hT1YuFn5pkuA,Battle & Brew,299,4.0,"{'latitude': 33.9170598520304, 'longitude': -84.3809505714416}"
lgKQzvvuNWJgkayiNiE7Hg,Food Terminal - Sandy Springs,12,4.5,"{'latitude': 33.9335355, 'longitude': -84.3645249}"
x3ur3GSAVoEARPn6qErQdg,Lazy Dog Restaurant,69,4.0,"{'latitude': 33.926670864887306, 'longitude': -84.3371396}"
irgOOugE8qnt2EzCKjh5Jg,il Giallo Osteria & Bar,357,4.5,"{'latitude': 33.916088, 'longitude': -84.380764}"
IpJCZK-TolocjvUSqZ5FgA,Kid Cashew,19,4.5,"{'latitude': 33.92160482200353, 'longitude': -84.3796266}"
P0TXOrCsxuSpGN7fom8zIg,Pisco Latin Kitchen,7,5.0,"{'latitude': 33.91831, 'longitude': -84.37884}"
DFFtZHWhfu4FP9SS5RCU9A,Banana Leaf Thai + Bar,70,4.5,"{'latitude': 33.921054649900924, 'longitude': -84.3829601023}"
iQCBhiTT2UNI3AtF0skqeg,JINYA Ramen Bar - Sandy Springs,1416,4.5,"{'latitude': 33.918637, 'longitude': -84.378324}"
QfeZMP4i955rsThVYLb_Mw,Under the Cork Tree,307,4.0,"{'latitude': 33.9077934377929, 'longitude': -84.3800507817535}"
QcoINwF4gg4j2omAbX5xjQ,Kaiser's Chophouse,191,4.5,"{'latitude': 33.91843644294486, 'longitude': -84.37783150897975}"
ZjU75UzM7urU8jS2_5_c3Q,City Barbeque,170,4.0,"{'latitude': 33.936255, 'longitude': -84.378043}"
QfBPiPJDEOad4eddttvXYQ,HOBNOB Neighborhood Tavern - Dunwoody,319,4.0,"{'latitude': 33.9290171091407, 'longitude': -84.3447320990111}"
wxp44gtEaNFmms2LlzbQRA,Biryani's Place,57,4.5,"{'latitude': 33.92132616061209, 'longitude': -84.35092399999999}"
rx59jqPs8axhpZS7RWS5fA,The Chapter Room,66,4.0,"{'latitude': 33.9080257442435, 'longitude': -84.3796686002606}"
Om4rjVQiXVlb1B4khR4rhg,Mandolin Kitchen,161,4.5,"{'latitude': 33.9230855704023, 'longitude': -84.3793958625421}"
s3eZ5ieYfQ4wNrs8_qLI2w,Tre Vele,33,4.0,"{'latitude': 33.919872828332444, 'longitude': -84.38356831669807}"
Vgl46CIbBkGtUKDsNplyVA,Local On North - Duluth,146,4.5,"{'latitude': 34.00329, 'longitude': -84.14425}"
P8vcKwiSGGwedOPmuGbbBA,Falling Rabbit,85,4.5,"{'latitude': 34.003842, 'longitude': -84.145132}"
mF0PgB7JgGmzxo4Zejs31w,Junoon Atlanta,5,4.5,"{'latitude': 34.0235, 'longitude': -84.1495}"
OqyzcQ40ujBej_Y_DJF1Ng,Tiger K Cupbob,93,4.5,"{'latitude': 33.96020008778021, 'longitude': -84.13609698465602}"
zjUlGcgMZTiatU-szhceUQ,Good Word Brewing & Public House,317,4.5,"{'latitude': 34.003293, 'longitude': -84.144245}"
afY44MaDaVV9xM0bSZop_w,Lazy Dog Restaurant & Bar,529,4.0,"{'latitude': 33.979533, 'longitude': -84.21571961154547}"
D-8OU41yZrRCzfGcEP-vow,475 Restaurant,79,4.5,"{'latitude': 33.95635, 'longitude': -84.2305}"
lyfns-OUloj4Q3SqMi5OvQ,Alebrije Mexican Cuisine,323,4.5,"{'latitude': 34.0011992543378, 'longitude': -84.0819977673897}"
Mjdbo7db5yz6UNOCHP3JNw,Stäge Kitchen & Bar,91,4.5,"{'latitude': 33.97703, 'longitude': -84.21773}"
9rx2Nfta1X09rZvBJi-aXQ,Nacho Daddy,579,3.5,"{'latitude': 34.00318, 'longitude': -84.1444901}"
A2lp2CJdFdvUkCn4lozZAw,Kurt's Euro Bistro,293,4.5,"{'latitude': 34.0157517743288, 'longitude': -84.1649023156576}"
l3ntUpMdAC9Bmc-C3AjDDQ,Persian Basket Kitchen & Bar,166,4.5,"{'latitude': 34.045781, 'longitude': -84.2250928}"
UHN8R-rSUqWHjueha1xZrw,Sugo Restaurant,439,4.5,"{'latitude': 34.032339, 'longitude': -84.185148}"
ZCj-m4lYKYwrGl_i6rCJGA,Flying Roll,321,4.5,"{'latitude': 34.01393672224419, 'longitude': -84.16500668723238}"
17KgYXYJn5zWZb0n8z9Lqg,Noona Meat & Seafood,156,4.0,"{'latitude': 34.003571, 'longitude': -84.144829}"
FX4ltT_dmM-JjbpVXe8WpQ,Jok Ga A Dong Chim,69,4.5,"{'latitude': 33.956772, 'longitude': -84.139729}"
V2r2h1VCsqL0Qx0JkZKnNQ,Yuki Izakaya,238,4.5,"{'latitude': 33.960891, 'longitude': -84.13703}"
BCX5AphsZXMscYW4HNYFtw,BBMyun,103,4.5,"{'latitude': 33.961329, 'longitude': -84.134206}"
sXp8Yv884l2Yb2TqddcZoQ,Cap't Loui,358,4.0,"{'latitude': 33.963387, 'longitude': -84.125317}"
JmqtDYxrdJgbSaEHAKQT0w,Nara Cuisine & Lounge,60,4.5,"{'latitude': 34.01793891110353, 'longitude': -84.19092798432644}"
zZPOQ0djdBW1-OmvyLRwwQ,Carson Kitchen,187,4.5,"{'latitude': 34.0754663927782, 'longitude': -84.2944991042055}"
tLObXJ6Rabi49ulJVMqVPw,Citizen Soul,174,4.5,"{'latitude': 34.0739654946406, 'longitude': -84.2944708605111}"
7ccVtNADjWh7CuG7gw8imw,Food Terminal - Alpharetta,24,4.5,"{'latitude': 34.04591, 'longitude': -84.29112}"
5zIYrUxDPUa9L5mEbx4J2A,Butcher & Brew,276,4.0,"{'latitude': 34.0753936767578, 'longitude': -84.2948837280273}"
mEmAhIZ1H7_-Uq4AasaiiQ,Rena’s Italian Fishery And Grill,100,4.5,"{'latitude': 34.0686732, 'longitude': -84.2976948}"
uJ7EaBe7t5PfWTw63kV7rg,Local Expedition Wood Fired Grill,937,5.0,"{'latitude': 34.089366, 'longitude': -84.2749784}"
